2023-03-22 00:51:39.424 [main] INFO  org.example.Calculator-[SUM]125.0+25.0
2023-03-22 00:51:39.427 [main] INFO  org.example.Calculator-[RESULT-SUM]150.0
2023-03-22 00:52:34.142 [main] INFO  org.example.Calculator-[SUM]78.0+45.0
2023-03-22 00:52:34.146 [main] INFO  org.example.Calculator-[RESULT-SUM]123.0
2023-03-22 00:52:43.715 [main] INFO  org.example.Calculator-[SUBTRACT]45.0-12.0
2023-03-22 00:52:43.717 [main] INFO  org.example.Calculator-[RESULT-SUBTRACT]33.0
2023-03-22 00:52:55.950 [main] INFO  org.example.Calculator-[SUBTRACT]45.0-12.0
2023-03-22 00:52:55.950 [main] INFO  org.example.Calculator-[RESULT-SUBTRACT]33.0
2023-03-22 00:53:04.527 [main] INFO  org.example.Calculator-[MULTIPLY]74.0 * 12.0
2023-03-22 00:53:04.529 [main] INFO  org.example.Calculator-[RESULT-MULTIPLY]888.0
2023-03-22 00:53:33.006 [main] INFO  org.example.Calculator-[MULTIPLY]5.0 * 2536.0
2023-03-22 00:53:33.010 [main] INFO  org.example.Calculator-[RESULT-MULTIPLY]12680.0
2023-03-22 00:53:41.322 [main] INFO  org.example.Calculator-[MULTIPLY]86.0 * 8523.0
2023-03-22 00:53:41.323 [main] INFO  org.example.Calculator-[RESULT-MULTIPLY]732978.0
2023-03-22 00:53:48.554 [main] INFO  org.example.Calculator-[DIVIDE]745.0/125.0
2023-03-22 00:53:48.556 [main] INFO  org.example.Calculator-[RESULT-DIVIDE]5.96
2023-03-22 00:54:27.288 [main] INFO  org.example.Calculator-[SQ_ROOT]75.0
2023-03-22 00:54:27.296 [main] INFO  org.example.Calculator-[RESULT-SQ ROOT]8.660254037844387
2023-03-22 00:54:50.997 [main] INFO  org.example.Calculator-[POWER]125.0^754.0
2023-03-22 00:54:50.998 [main] INFO  org.example.Calculator-[RESULT-POWER]Infinity
2023-03-22 00:55:01.494 [main] INFO  org.example.Calculator-[DIVIDE]125.0/54.0
